gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaA01G0001400WE,776.5437596,-0.716620747,0.108564255,-6.600890375,4.09E-11,8.97E-09
BnaA01G0003700WE,46.56164808,-0.637324863,0.228528995,-2.788814011,0.005290144,0.042154631
BnaA01G0006900WE,185.734518,-0.509126193,0.17816002,-2.85769048,0.004267364,0.035983627
BnaA01G0009600WE,138.333243,-0.521653145,0.171579095,-3.040307117,0.00236337,0.023374722
BnaA01G0009700WE,19.81029569,1.501993217,0.542552105,2.768385199,0.005633483,0.044030041
BnaA01G0010300WE,71.79764682,-0.535389974,0.193487405,-2.767053365,0.005656549,0.04414293
BnaA01G0011700WE,176.4656673,-0.588754983,0.152574611,-3.85880048,0.000113945,0.002368019
BnaA01G0018200WE,218.7055486,-0.647522502,0.182299863,-3.551963738,0.000382368,0.006008587
BnaA01G0026700WE,27.10578383,1.060265642,0.354186122,2.993526785,0.002757733,0.026079596
BnaA01G0027200WE,188.1720209,-1.332882225,0.382733449,-3.482533933,0.000496692,0.007320729
BnaA01G0029900WE,117.249458,-0.738282505,0.224632268,-3.286627118,0.00101395,0.012558261
BnaA01G0034100WE,765.6492532,0.676159439,0.13578931,4.979474756,6.38E-07,3.65E-05
BnaA01G0036300WE,527.5128335,-0.571819269,0.175036541,-3.266856548,0.001087488,0.013209836
BnaA01G0038900WE,226.5979165,0.798926786,0.139353189,5.733107308,9.86E-09,1.06E-06
BnaA01G0039500WE,52.07007282,0.799937948,0.287727486,2.780193016,0.00543266,0.042975727
BnaA01G0040100WE,398.7649809,-0.8225306,0.236902948,-3.472015046,0.000516567,0.007512729
BnaA01G0041800WE,9272.852767,-0.912527865,0.200081836,-4.560773149,5.10E-06,0.000196337
BnaA01G0041900WE,122.8426083,-0.729924133,0.258399205,-2.824792482,0.004731125,0.038786804
BnaA01G0043800WE,118.6867467,-0.588068416,0.203309082,-2.892484736,0.003822078,0.033088764
BnaA01G0046500WE,995.350315,0.677978191,0.144320392,4.697729705,2.63E-06,0.000115029
BnaA01G0046700WE,326.8819151,-0.573564222,0.137532858,-4.170379563,3.04E-05,0.000831006
