gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaA01G0003300WE,285.5393272,-0.891528045,0.200388913,-4.44898888,8.63E-06,0.00046744
BnaA01G0003700WE,46.56164808,-0.66808178,0.238972906,-2.795638183,0.005179735,0.049654657
BnaA01G0007800WE,97.3519752,-0.898023422,0.208784797,-4.30119163,1.70E-05,0.000784637
BnaA01G0010600WE,31.07218474,-2.019983385,0.573784069,-3.520459169,0.0004308,0.008603094
BnaA01G0011700WE,176.4656673,-0.936131602,0.153412661,-6.10204919,1.05E-09,3.23E-07
BnaA01G0012100WE,4.692315719,-4.216233764,1.157914609,-3.641230305,0.000271338,0.00618577
BnaA01G0019000WE,12.03647461,2.135419473,0.645771492,3.306772596,0.000943775,0.015163755
BnaA01G0024500WE,17.67719589,1.792280472,0.482641146,3.71348462,0.000204425,0.005051389
BnaA01G0028800WE,77.73266478,0.872724174,0.246991244,3.533421508,0.000410218,0.008331994
BnaA01G0033300WE,37.62806016,-1.287243337,0.375875914,-3.424649701,0.000615593,0.011141937
BnaA01G0034600WE,35.98011677,1.031268976,0.360531969,2.86040924,0.004230946,0.043375542
BnaA01G0036700WE,10.51529873,1.904652044,0.62791913,3.033276025,0.002419142,0.029723439
BnaA01G0037000WE,126.8834065,1.436288924,0.373559312,3.844875168,0.000120614,0.003430479
BnaA01G0038600WE,225.3630123,0.517095919,0.138233898,3.740731671,0.000183485,0.00466179
BnaA01G0041700WE,524.1556603,-0.775646896,0.114232611,-6.790065381,1.12E-11,7.11E-09
BnaA01G0041800WE,9272.852767,-1.060189581,0.188864378,-5.613496782,1.98E-08,3.50E-06
BnaA01G0042300WE,223.8292282,-0.508019866,0.169569232,-2.995943663,0.00273597,0.032391512
BnaA01G0042800WE,81.4838088,0.906049758,0.196409786,4.613058117,3.97E-06,0.000249985
BnaA01G0042900WE,114.4266667,0.531673102,0.185223465,2.870441396,0.004098992,0.042463801
BnaA01G0043300WE,50.49073678,-1.024986382,0.325661997,-3.147393282,0.001647332,0.022548231
BnaA01G0044600WE,425.7726308,0.723740026,0.13564583,5.335512519,9.53E-08,1.29E-05
BnaA01G0045200WE,5.638198732,3.491794891,0.831252169,4.200644545,2.66E-05,0.001109157
BnaA01G0045900WE,5.394112873,-2.547285434,0.909692119,-2.800162145,0.005107694,0.049247487
BnaA01G0046200WE,16.95681493,1.37649402,0.400045393,3.440844571,0.000579902,0.010706184
BnaA01G0046500WE,995.350315,0.793699783,0.135325441,5.86511875,4.49E-09,1.07E-06
BnaA01G0054300WE,31.61037045,-1.276463792,0.398222337,-3.205404802,0.001348727,0.019529615
BnaA01G0058200WE,20.47153027,-1.44288244,0.515411649,-2.799475805,0.005118565,0.049283457
BnaA01G0059100WE,272.6200726,-1.400721002,0.391164289,-3.580902041,0.00034241,0.00736334
BnaA01G0060200WE,44.71078806,1.013770584,0.269870136,3.756512674,0.000172298,0.004462285
BnaA01G0060300WE,19.86039753,1.4841339,0.413333947,3.590641206,0.000329865,0.00716748
BnaA01G0060400WE,85.96251339,-0.645033724,0.227988335,-2.82924003,0.004665869,0.046311139
BnaA01G0061400WE,64.42757455,0.896538757,0.278950377,3.213972199,0.001309123,0.019143013
BnaA01G0062300WE,30.39340139,-1.632752107,0.439806595,-3.712432071,0.000205277,0.005063617
BnaA01G0062400WE,82.08647579,0.63466069,0.190375091,3.333738083,0.000856873,0.014126611
BnaA01G0062500WE,366.2754255,-0.726571872,0.147053821,-4.940856799,7.78E-07,7.16E-05
BnaA01G0063300WE,27.97040022,1.290059473,0.380961,3.386329502,0.000708343,0.01229625
BnaA01G0067500WE,6902.915795,-0.575636528,0.176496151,-3.261467878,0.00110837,0.01693696
BnaA01G0068500WE,20.37531252,6.231748647,1.018160654,6.120594645,9.32E-10,2.96E-07
BnaA01G0069000WE,174.846414,0.80360491,0.186458074,4.309842372,1.63E-05,0.000763161
BnaA01G0069500WE,41.34799382,-1.15133006,0.334391029,-3.443065035,0.000575161,0.01064817
BnaA01G0069700WE,3.803714118,3.05363058,1.061951701,2.875489138,0.00403402,0.042005435
BnaA01G0073500WE,257.6255779,-0.651925224,0.141341513,-4.612411528,3.98E-06,0.000250468
BnaA01G0074500WE,705.8071925,-0.727876982,0.15744729,-4.622988313,3.78E-06,0.000241736
BnaA01G0074800WE,100.9356162,-0.863194068,0.188006415,-4.591301139,4.40E-06,0.000272976
BnaA01G0075700WE,792.9030423,-0.892411209,0.134026152,-6.658485644,2.77E-11,1.51E-08
BnaA01G0078900WE,29.68954304,1.120370481,0.34862074,3.213722977,0.00131026,0.019149128
BnaA01G0079200WE,3.92730925,3.493911087,1.122851961,3.111640011,0.001860512,0.024655719
BnaA01G0080100WE,130.6005659,-0.865450703,0.306056535,-2.827747835,0.004687672,0.0464238
BnaA01G0081400WE,37.92655484,-0.943316194,0.28382123,-3.323628029,0.000888546,0.014505212
BnaA01G0082600WE,80.49689043,-0.851126963,0.253418493,-3.358582692,0.000783433,0.01321423
BnaA01G0083000WE,214.7216354,0.766116543,0.215328134,3.557902666,0.000373828,0.007827192
BnaA01G0084300WE,96.48577778,0.848561593,0.204585411,4.147713126,3.36E-05,0.001311269
BnaA01G0084500WE,109.583083,0.905702882,0.176102743,5.143036757,2.70E-07,3.13E-05
BnaA01G0086000WE,14.00578396,-1.685173336,0.485169666,-3.47336912,0.000513968,0.009792617
BnaA01G0088200WE,170.0573982,1.281885023,0.222636112,5.757758759,8.52E-09,1.75E-06
BnaA01G0089600WE,40.38021422,0.69174875,0.242132656,2.856899857,0.004278008,0.043715073
