gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BnaA01G0001400WE	776.543759617919	-0.6621157059586	0.102785555433584	-6.44171939496338	1.181275318498e-10	2.59398164442111e-08
BnaA01G0003300WE	285.539327228934	-0.593804665180062	0.19507256885873	-3.04401930345261	0.00233440161200057	0.0260605462897333
BnaA01G0009000WE	50.553071215934	0.662302099996658	0.227548589046699	2.91059638194784	0.00360739686426322	0.0355835934338965
BnaA01G0010300WE	71.7976468200614	-0.744048075559573	0.177705182240263	-4.18698017795337	2.82690503393485e-05	0.000894364354801727
BnaA01G0011700WE	176.465667271241	-0.646990030706626	0.14274152626197	-4.53259852020372	5.82624872217965e-06	0.000260794582610095
BnaA01G0018200WE	218.705548644207	-0.831474242065775	0.173794784953779	-4.78423010383716	1.71643962119561e-06	9.9161033873535e-05
BnaA01G0018400WE	39.3265089114954	1.04237043601898	0.313493421774154	3.3250153388224	0.000884136707064942	0.0127914666325346
BnaA01G0020700WE	383.775667702892	0.576690705017468	0.144464356143747	3.9919238240583	6.55394276321841e-05	0.00173319966818983
BnaA01G0027200WE	188.172020887298	-1.06445818609235	0.3604837357461	-2.95286050531301	0.00314844201765127	0.032302337354288
BnaA01G0034100WE	765.649253164451	0.589385905346774	0.128547782119084	4.58495584778569	4.54082380030122e-06	0.000214956243602972
BnaA01G0038700WE	49.6831462940062	0.98154794512377	0.243919836198136	4.02405954522886	5.72034437601427e-05	0.00154689028896706
BnaA01G0038900WE	226.597916458255	0.822742722035738	0.131437722689111	6.25956312391207	3.86057445920366e-10	7.67394378994882e-08
BnaA01G0039500WE	52.0700728168423	0.837035800167277	0.26536547839785	3.15427539867242	0.00160897173092592	0.0199832669050918
BnaA01G0040100WE	398.764980875945	-0.786624413409715	0.223049547658193	-3.52668015545657	0.000420804772112633	0.00728110303298186
BnaA01G0041700WE	524.155660253723	-0.53186133189495	0.10988116326951	-4.84033219224691	1.29622270270131e-06	7.89059108805493e-05
BnaA01G0041800WE	9272.85276716913	-0.870035977776526	0.188656214361554	-4.61175361077228	3.99286111955712e-06	0.000196328934438997
BnaA01G0041900WE	122.842608313841	-0.70776732116286	0.247218988927728	-2.86291649453258	0.00419761175036254	0.0395809874176496
BnaA01G0042800WE	81.4838088040683	0.656362736440323	0.20695690105654	3.17149480442311	0.00151656580902583	0.0191244146609023
BnaA01G0044600WE	425.772630795149	0.628191206092857	0.131184134975721	4.78862178120182	1.67930642288994e-06	9.77059971889847e-05
BnaA01G0054100WE	1143.31768332221	-0.838297429718003	0.29651198864967	-2.82719573510552	0.00469576159011015	0.0427315323524408
BnaA01G0056100WE	155.84853814028	-0.672231887007017	0.155489862696698	-4.32331648731523	1.53700994053567e-05	0.00055246762576026
BnaA01G0056900WE	72.4964375922775	0.71929934578803	0.255747425476794	2.81253797353787	0.00491522194782476	0.0440818392477562
BnaA01G0059100WE	272.620072615825	-1.37369481502501	0.388845537002786	-3.53275191381498	0.000411258200192081	0.00716915687134507
BnaA01G0062500WE	366.275425503758	-0.598022570925646	0.145222973569246	-4.11796120288428	3.82239025401356e-05	0.00112619743954015
BnaA01G0066900WE	74.7080717706283	-1.14003917697697	0.406794422887554	-2.80249460866404	0.00507090639643582	0.0450642894688509
BnaA01G0068500WE	20.3753125185652	7.31250961793945	1.00589315334094	7.26966834762912	3.60371159767471e-13	1.33758293654578e-10
BnaA01G0073500WE	257.625577895829	-0.551542229874699	0.134060447669175	-4.11413089739755	3.88640867537332e-05	0.00114148286178227
BnaA01G0074500WE	705.807192521882	-0.599120119153096	0.156561604407051	-3.8267372222082	0.00012985300663132	0.00294076393311599
BnaA01G0075700WE	792.903042349375	-0.524519850364398	0.13125977131737	-3.99604421903322	6.44097081595437e-05	0.00170717729391889
BnaA01G0077500WE	113.614677987522	0.896853902817826	0.193846428875001	4.62662071219351	3.716802760791e-06	0.000185733250629888
BnaA01G0078900WE	29.6895430371859	1.11822128361269	0.37144393146822	3.01047126868557	0.00260842624566827	0.0282183682217742
BnaA01G0084300WE	96.4857777772852	0.783147378790641	0.211925608843262	3.69538812730201	0.000219551137699622	0.0044313829727611
BnaA01G0084500WE	109.583082971751	0.512358878737267	0.18366449753491	2.789645716042	0.00527657461480613	0.0463185626819169
BnaA01G0086900WE	160.933658269651	-0.804625147196905	0.219293687960456	-3.6691669271484	0.000243342153886251	0.004796173222884
BnaA01G0088200WE	170.057398248489	0.90296907360869	0.223931442232575	4.03234608148894	5.52227828185621e-05	0.00150400032027327
BnaA01G0103000WE	1168.70029169344	-0.502450225972375	0.114218880148255	-4.39901201377742	1.08744807245103e-05	0.000424276716788291
BnaA01G0113000WE	111.397794043833	-0.500849645175858	0.176041675977186	-2.84506292271816	0.00444026507624549	0.0410658429609456
BnaA01G0114200WE	39.7553206629437	0.889400457117465	0.311474911891883	2.85544813774982	0.00429761411597228	0.0402075688717621
BnaA01G0115100WE	90.1557669861569	-0.618825980194898	0.203854174402966	-3.03563065121071	0.00240033203641363	0.0265562453894118
BnaA01G0119400WE	141.913913063698	-0.936325120055041	0.19625971521022	-4.77084723705074	1.83452636657351e-06	0.000104401227770456
BnaA01G0120600WE	38.2758746422523	0.700851943859649	0.247648208416189	2.83003034159577	0.0046543589962181	0.0424560950455371
BnaA01G0120900WE	134.063727471036	-0.598708145059815	0.169850623222046	-3.52490991026346	0.000423626835108347	0.00732235161775012
BnaA01G0122800WE	51.8869485930244	-1.54994518943265	0.389714832700023	-3.97712650220243	6.97530616614209e-05	0.00181939235833539
