gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaC07G0095900WE,260.5378651,-0.687912165,0.111512175,-6.168942204,6.87E-10,3.44E-07
BnaC07G0106800WE,43.5077242,-0.881996164,0.280867158,-3.140260937,0.001687974,0.03902199
BnaC07G0107600WE,40.84995856,1.01390312,0.297146508,3.412132034,0.000644569,0.020758453
BnaC07G0108000WE,274.3196255,-1.140761184,0.364362239,-3.130843597,0.00174305,0.039885019
BnaC07G0109000WE,7.700714274,-4.030505259,0.988823589,-4.07606099,4.58E-05,0.003166907
BnaC07G0117700WE,194.8472601,0.535999292,0.152266339,3.520143035,0.000431314,0.015825552
BnaC07G0120000WE,117.7010221,0.954059964,0.213398703,4.470786133,7.79E-06,0.00085938
BnaC07G0124700WE,29.21324135,1.202724964,0.391332758,3.073407322,0.002116294,0.045270503
BnaC07G0133500WE,75.23389123,0.855926616,0.273571425,3.128713518,0.001755734,0.040022006
BnaC07G0142600WE,42.98490791,-1.646001287,0.463779275,-3.54910488,0.000386543,0.014693979
BnaC07G0152700WE,172.4866973,0.824342873,0.201986031,4.081187541,4.48E-05,0.003122637
BnaC07G0154900WE,587.0663875,-0.512350736,0.110830119,-4.622847484,3.79E-06,0.000502138
BnaC07G0166800WE,5.041037018,2.48151304,0.792985497,3.129329666,0.001752056,0.03997735
BnaC07G0170000WE,608.2634104,-0.783599317,0.166524192,-4.705618507,2.53E-06,0.000371605
BnaC07G0177000WE,340.0720158,-1.214910174,0.341520668,-3.557354756,0.000374608,0.014427513
BnaC07G0180200WE,288.4897419,0.532716595,0.122436458,4.350963794,1.36E-05,0.001344055
BnaC07G0190200WE,6.413221333,-3.380785623,0.918789855,-3.679607043,0.000233594,0.010294861
BnaC07G0192500WE,42.66097185,-0.90060804,0.253812884,-3.548314899,0.000387704,0.014710674
BnaC07G0193900WE,59.35051263,-1.054672781,0.286718305,-3.67842849,0.000234675,0.010318297
BnaC07G0204100WE,17.84400863,1.454042782,0.386128698,3.765694672,0.000166087,0.008015867
BnaC07G0210200WE,9.210443644,3.311468672,0.876442972,3.778304782,0.0001579,0.007771424
BnaC07G0210600WE,95.47987088,0.638356499,0.192760347,3.311658794,0.000927446,0.026076745
BnaC07G0212000WE,79.45286659,0.702794091,0.2256564,3.114443428,0.001842923,0.041395676
BnaC07G0218400WE,18.73794663,2.3611381,0.615221656,3.837865712,0.000124108,0.006612658
BnaC07G0227700WE,208.6948441,1.06549215,0.320304434,3.326498283,0.000879446,0.02517401
BnaC07G0227800WE,208.6948441,1.06549215,0.320304434,3.326498283,0.000879446,0.02517401
BnaC07G0228400WE,58.83333225,-1.680024211,0.551770735,-3.044786725,0.002328454,0.048143174
BnaC07G0233100WE,152.3664136,0.648959603,0.15221477,4.263446978,2.01E-05,0.00176537
BnaC07G0233900WE,5.802890867,5.644442987,1.234089711,4.573770396,4.79E-06,0.00060318
BnaC07G0237300WE,119.0136355,-0.595067053,0.191779842,-3.102865485,0.001916567,0.0424659
BnaC07G0239200WE,78.00718819,-0.664995313,0.209465008,-3.174732237,0.001499748,0.03574571
BnaC07G0240400WE,123.9874044,-0.619681386,0.193162231,-3.208087746,0.001336207,0.033163446
BnaC07G0247900WE,31.79132309,0.846618429,0.277397952,3.05199957,0.002273224,0.047357025
BnaC07G0251500WE,134.4229849,-0.641157179,0.203499381,-3.150659114,0.001629025,0.03797837
